city,county,state,fips,latitude,longitude,population,redState,unemploymentRate,povertyProp,tempDiff,numDisasters,avgEmissionsPerCapita,UNFCCC,hasCommitments,hasActionsUndertaken,hasEmissionInventory,hasInitiativeParticipations,hasImpact,hasMitigations,hasAdaptations,hasRiskAssessments,hasClimateActionPlans,hasFinanceActions
Clarkston,DeKalb,GA,13089.0,33.8117,-84.2403,14553.0,False,0.031,0.145,,65.0,12.716666666666669,False,False,False,False,True,False,False,False,False,False,False
Beverly,Essex,MA,25009.0,42.5681,-70.8627,42414.0,False,0.029,0.096,-0.6152499999999996,47.0,8.799999999999999,False,True,True,False,True,False,True,True,True,True,False
Benicia,Solano,CA,6095.0,38.0725,-122.1526,27040.0,False,0.053,0.1,-0.8213214285714301,284.0,8.716666666666669,False,False,False,False,True,False,False,False,False,False,False
Belfast,Waldo,ME,23027.0,44.4279,-69.0325,6953.0,False,0.034,0.131,-0.4012976190476216,56.0,10.949999999999998,False,False,False,False,True,False,False,False,False,False,False
Augusta-Richmond County,,GA,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
Ashland,Ashland,WI,55003.0,46.5799,-90.8713,7903.0,False,0.03,0.146,-1.2923571428571456,47.0,16.3,False,False,False,False,True,False,False,False,False,False,False
Apopka,,Fl,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
Adams County,,MA,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
Bladensburg,Prince George's,MD,24033.0,38.9424,-76.9264,9574.0,False,0.024,0.115,-0.1876785714285738,32.0,9.183333333333332,False,False,False,False,True,False,False,False,False,False,False
Camden,,ME,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
Brownsville,Cameron,TX,48061.0,25.9975,-97.458,215269.0,True,0.039,0.24600000000000002,-0.08552380952381,255.0,23.05,False,False,False,False,True,False,False,False,False,False,False
Bridgeport,Greater Bridgeport,CT,9120.0,41.1918,-73.1954,908251.0,False,0.045,,-0.5519761904761893,31.0,9.883333333333333,False,False,False,False,True,False,False,False,False,False,False
West Chester,Chester,PA,42029.0,39.9601,-75.6058,19016.0,False,0.034,0.066,-0.3781428571428549,59.0,16.566666666666666,False,False,False,False,True,False,False,False,False,False,False
Ithaca,Tompkins,NY,36109.0,42.4442,-76.5032,31359.0,False,0.044,0.162,-0.9301904761904787,95.0,8.316666666666666,False,False,False,False,True,False,False,False,False,False,False
Lancaster,Los Angeles,CA,6037.0,34.6935,-118.1753,171465.0,False,0.053,0.141,-0.8213214285714301,284.0,8.716666666666669,False,False,False,False,True,False,False,False,False,False,False
South Haven,Van Buren,MI,26159.0,42.4011,-86.2677,3999.0,False,0.039,0.133,-0.7531666666666652,37.0,15.283333333333333,False,False,False,False,True,False,False,False,False,False,False
Sonoma,Sonoma,CA,6097.0,38.2902,-122.4598,10702.0,False,0.053,0.091,-0.8213214285714301,284.0,8.716666666666669,False,False,False,False,True,False,False,False,False,False,False
Solana Beach,San Diego,CA,6073.0,32.9943,-117.2574,12946.0,False,0.053,0.107,-0.8213214285714301,284.0,8.716666666666669,False,False,False,False,True,False,False,False,False,False,False
Schenectady,Schenectady,NY,36093.0,42.8025,-73.9275,68476.0,False,0.044,0.129,-0.9301904761904787,95.0,8.316666666666666,False,False,False,False,True,False,False,False,False,False,False
Sarasota,Sarasota,FL,12115.0,27.3387,-82.5432,55508.0,True,0.031,0.086,1.8295714285714304,130.0,10.883333333333333,False,True,False,False,True,False,False,False,False,False,False
Santa Barbara,Santa Barbara,CA,6083.0,34.4285,-119.7202,199023.0,False,0.053,0.152,-0.8213214285714301,284.0,8.716666666666669,False,False,False,False,True,False,False,False,False,False,False
Salt Lake City,Salt Lake,UT,49035.0,40.7776,-111.9311,1173879.0,True,0.028,0.08800000000000001,-0.5405119047619067,34.0,18.833333333333332,False,True,True,False,True,False,True,True,False,True,False
Wisconsin Rapids,Wood,WI,55141.0,44.3927,-89.8265,18783.0,False,0.03,0.113,-1.2923571428571456,47.0,16.3,False,False,False,False,True,False,False,False,False,False,False
White Plains,Westchester,NY,36119.0,41.022,-73.7547,59421.0,False,0.044,0.094,-0.9301904761904787,95.0,8.316666666666666,False,True,False,False,True,False,False,False,False,False,False
Wellfleet,,MA,,,,,,,,,,,,False,True,True,True,False,True,False,True,False,False
Vicksburg,Warren,MS,28149.0,32.3173,-90.8868,21337.0,True,0.031,0.207,1.5567261904761907,72.0,20.983333333333334,False,False,False,False,True,False,False,False,False,False,False
University City,St. Louis,MO,29189.0,38.6657,-90.3315,34850.0,True,0.033,0.105,0.14886904761904773,69.0,19.35,False,False,False,False,True,False,False,False,False,False,False
Durham,Durham,NC,37063.0,35.9792,-78.9022,399616.0,True,0.035,0.134,0.8821071428571443,59.0,11.483333333333334,False,True,True,True,False,False,True,False,False,False,False
Surfside,Miami-Dade,FL,12086.0,25.8787,-80.125,5625.0,True,0.031,0.152,1.8295714285714304,130.0,10.883333333333333,False,False,False,False,True,False,False,False,False,False,False
Yountville,Napa,CA,6055.0,38.3963,-122.3671,3397.0,False,0.053,0.09,-0.8213214285714301,284.0,8.716666666666669,False,False,False,False,True,False,False,False,False,False,False
Richmond,Contra Costa,CA,6013.0,37.9477,-122.3389,115619.0,False,0.053,0.08800000000000001,-0.8213214285714301,284.0,8.716666666666669,False,False,False,False,True,False,False,False,False,False,False
