id,city,state,state_name,county_fips,county_name,latitude,longitude
1840026410,Trexlertown,PA,Pennsylvania,42077,Lehigh,40.5523,-75.6039
1840020655,Lowry Crossing,TX,Texas,48085,Collin,33.1711,-96.5443
1840004236,Twin Lake,MI,Michigan,26121,Muskegon,43.3696,-86.1837
1840005854,Chevy Chase Village,MD,Maryland,24031,Montgomery,38.9698,-77.0793
1840014660,Clarkesville,GA,Georgia,13137,Habersham,34.6103,-83.5284
1840028335,Boronda,CA,California,6053,Monterey,36.6947,-121.6745
1840014420,Hickman,KY,Kentucky,21075,Fulton,36.565,-89.1836
1840000670,South Connellsville,PA,Pennsylvania,42051,Fayette,39.9946,-79.5804
1840144412,Angustura,NM,New Mexico,35045,San Juan,36.7138,-107.9154
1840003214,Watervliet,MI,Michigan,26021,Berrien,42.1883,-86.2576
1840018751,Duchesne,UT,Utah,49013,Duchesne,40.1753,-110.394
1840004926,Shenorock,NY,New York,36119,Westchester,41.3307,-73.7409
1840016794,Jackson,SC,South Carolina,45003,Aiken,33.3283,-81.7925
1840034689,Keno,OR,Oregon,41035,Klamath,42.1309,-121.928
1840015230,Salyersville,KY,Kentucky,21153,Magoffin,37.7459,-83.0646
1840042006,Monroe North,WA,Washington,53061,Snohomish,47.8828,-121.9886
1840005330,Upper Brookville,NY,New York,36059,Nassau,40.8475,-73.5628
1840013494,Judson,SC,South Carolina,45045,Greenville,34.8335,-82.4272
1840040260,Merritt Park,NY,New York,36027,Dutchess,41.5385,-73.8723
1840021644,Inola,OK,Oklahoma,40131,Rogers,36.1321,-95.5369
1840007320,Hamilton,MO,Missouri,29025,Caldwell,39.7433,-94.0027
1840009428,Tecumseh,NE,Nebraska,31097,Johnson,40.3718,-96.1888
1840011525,West Unity,OH,Ohio,39171,Williams,41.5889,-84.4306
1840008120,Ogden,IA,Iowa,19015,Boone,42.0395,-94.0282
1840001204,Ben Avon,PA,Pennsylvania,42003,Allegheny,40.5058,-80.0814
1840017780,Ramseur,NC,North Carolina,37151,Randolph,35.7371,-79.6543
1840012397,South Zanesville,OH,Ohio,39119,Muskingum,39.9036,-82.0179
1840015643,Lincolnton,GA,Georgia,13181,Lincoln,33.7931,-82.4776
1840076411,Warm Springs,CA,California,6065,Riverside,33.7067,-117.3343
1840003115,Fennville,MI,Michigan,26005,Allegan,42.5947,-86.1051
1840003945,East Jordan,MI,Michigan,26029,Charlevoix,45.1547,-85.13
1840009400,Syracuse,NE,Nebraska,31131,Otoe,40.6635,-96.1827
1840021039,Palm Valley,TX,Texas,48061,Cameron,26.2015,-97.7546
1840006578,Stony Point,MI,Michigan,26115,Monroe,41.9451,-83.2751
1840141651,St. George,MO,Missouri,29189,St. Louis,38.5376,-90.3121
